p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,3000,0,7.1918799e-06,0.040924586,2.0509793e-07,1.0493936e-06,6.6176295
6,3000,1,0.052267522,0.043937154,0.026267887,0.011013072,9.5808184
6,3000,2,0.12167594,0.039680861,0.020639209,0.018715584,13.460652
6,3000,3,0.27004398,0.047817383,0.020567101,0.025988381,15.799545
8,3000,0,6.3165207e-06,0.03938379,1.3443059e-07,9.695359e-07,6.7713717
8,3000,1,0.053974438,0.047294781,0.026101558,0.0068079425,7.8815252
8,3000,2,0.13556267,0.047773415,0.024275404,0.014303203,8.828567
8,3000,3,0.23582612,0.048903171,0.020789385,0.020454198,10.4846
10,3000,0,6.1083958e-06,0.048226066,2.6378781e-07,9.480305e-07,5.1088064
10,3000,1,0.053589838,0.048450526,0.040763795,0.0052391174,6.1351636
10,3000,2,0.12255805,0.044844586,0.03118539,0.011118284,7.0381727
10,3000,3,0.19061903,0.046490809,0.02341575,0.013512264,8.3675001
12,3000,0,5.0385845e-06,0.045749307,3.0883691e-07,9.6993366e-07,4.5137825
12,3000,1,0.04118097,0.04903597,0.038179885,0.0035881673,5.4488908
12,3000,2,0.10593342,0.045612449,0.03465178,0.0083907282,6.1667718
12,3000,3,0.17270299,0.049766749,0.026813231,0.010940235,7.2674001
6,6000,0,1.6118089e-05,0.17234845,1.9174897e-07,1.2390729e-06,47.579149
6,6000,1,0.22622692,0.17328154,0.09882177,0.036551652,64.716211
6,6000,2,0.48835465,0.15768309,0.073435124,0.061548095,84.71381
6,6000,3,1.1042493,0.18497427,0.062019747,0.098705318,100.44213
8,6000,0,1.2332399e-05,0.15841996,2.2168388e-07,1.1450902e-06,41.095776
8,6000,1,0.23777427,0.18813127,0.09759666,0.024933722,48.298531
8,6000,2,0.54074795,0.18715904,0.089721511,0.053820196,55.119613
8,6000,3,0.88450889,0.19176862,0.075205866,0.077858707,62.890817
10,6000,0,1.8874016e-05,0.1877367,2.6574358e-07,1.2791529e-06,28.103364
10,6000,1,0.22204988,0.17990519,0.13261638,0.020793762,32.681693
10,6000,2,0.49040123,0.19014326,0.11290541,0.040424337,36.874088
10,6000,3,0.68020213,0.19505117,0.072304317,0.052358554,43.996291
12,6000,0,1.7333077e-05,0.17790866,1.7295307e-06,1.0627555e-06,23.45589
12,6000,1,0.190027,0.1818036,0.13358301,0.0154138,27.760577
12,6000,2,0.43891944,0.1867848,0.11408451,0.03110921,30.477425
12,6000,3,0.7120774,0.1834274,0.092184676,0.04453043,35.702766
6,9000,0,1.6622245e-05,0.37397219,1.7281208e-07,1.8389482e-06,166.92714
6,9000,1,0.53239446,0.37804503,0.21886324,0.077950535,216.7326
6,9000,2,1.1484527,0.34349741,0.1678861,0.13654986,273.81693
6,9000,3,2.4644741,0.40150013,0.13985205,0.22607977,316.31767
8,9000,0,1.3214507e-05,0.33760033,2.1676533e-07,1.7248967e-06,146.38931
8,9000,1,0.54954193,0.39898513,0.22253248,0.056202261,169.53317
8,9000,2,1.2215032,0.4040443,0.20067546,0.11967363,193.55031
8,9000,3,2.0006747,0.38736233,0.16751397,0.17442001,222.84384
10,9000,0,2.0592343e-05,0.40219685,2.3540109e-07,1.6678311e-06,82.576031
10,9000,1,0.5149989,0.4032375,0.29030889,0.047033421,95.533308
10,9000,2,1.1199073,0.38117108,0.23868425,0.089051882,106.76451
10,9000,3,1.4980535,0.42289178,0.1600084,0.10835254,124.26155
12,9000,0,2.0647486e-05,0.40253922,3.1280797e-07,1.6909067e-06,70.34976
12,9000,1,0.39091008,0.39873656,0.2811384,0.030915585,81.324126
12,9000,2,1.0432215,0.39262097,0.23598889,0.068165069,89.568691
12,9000,3,1.5347704,0.39736713,0.19970486,0.096739496,103.99006
6,12000,0,1.8639593e-05,0.69313396,2.0178656e-07,1.4142651e-06,382.75552
6,12000,1,0.99457613,0.69061186,0.39571602,0.13558823,485.81627
6,12000,2,2.1198706,0.63054715,0.30310448,0.24169909,600.20174
6,12000,3,4.4421789,0.74884639,0.24851873,0.40098908,698.30589
8,12000,0,1.5409838e-05,0.63254505,2.218294e-07,1.4441612e-06,273.21215
8,12000,1,0.99494348,0.74164105,0.40854164,0.099895053,316.89913
8,12000,2,2.1637786,0.75192487,0.36071078,0.2136456,358.46255
8,12000,3,3.5739254,0.75056392,0.29857248,0.30977041,409.01738
10,12000,0,2.0915102e-05,0.75509512,2.5874004e-07,1.4472939e-06,183.90116
10,12000,1,0.9249528,0.7108653,0.50620506,0.083650568,211.16067
10,12000,2,2.0133924,0.70198438,0.42726728,0.1566009,234.99885
10,12000,3,2.664036,0.76446793,0.27342975,0.19291963,269.40542
12,12000,0,2.1570103e-05,0.70909969,3.0696133e-07,1.3391772e-06,140.73545
12,12000,1,0.70495466,0.75243496,0.48649435,0.054233156,164.17895
12,12000,2,1.8905947,0.74070031,0.41801492,0.1214375,180.40689
12,12000,3,2.7786268,0.76085644,0.35402304,0.17236638,208.12271
6,3000,0,7.4130173e-06,0.040366724,1.942325e-07,1.0111059e-06,6.6047837
6,3000,1,0.052075607,0.044585302,0.025961745,0.010666363,9.5987466
6,3000,2,0.12226085,0.04013703,0.020146088,0.019391625,13.560551
6,3000,3,0.27115029,0.047792813,0.019956543,0.026182656,15.741705
8,3000,0,6.0913735e-06,0.040033907,1.9097934e-07,9.8132296e-07,6.7952647
8,3000,1,0.05398222,0.047464201,0.025908815,0.0069534944,7.8479579
8,3000,2,0.13558777,0.048842115,0.024955677,0.014407386,8.795204
8,3000,3,0.23591592,0.04901487,0.02060545,0.020593084,10.367987
10,3000,0,5.5768527e-06,0.048929513,3.1705946e-07,9.7207725e-07,5.1539912
10,3000,1,0.053752833,0.049143031,0.038557121,0.0055233384,6.1115804
10,3000,2,0.12247469,0.045149267,0.029983492,0.010671836,7.0414263
10,3000,3,0.19076386,0.049416294,0.021895054,0.013572812,8.3350393
12,3000,0,4.8517896e-06,0.045471858,3.2358285e-07,9.0988922e-07,4.511494
12,3000,1,0.041108717,0.046226267,0.0370653,0.0037709417,5.4113293
12,3000,2,0.10542464,0.045529706,0.032990539,0.0084631053,6.078888
12,3000,3,0.17272407,0.04989399,0.02790008,0.010753304,7.2394841
6,6000,0,1.6013988e-05,0.17274036,2.2434526e-07,1.2502488e-06,47.85608
6,6000,1,0.22494572,0.18572857,0.09877162,0.036396019,64.670701
6,6000,2,0.48918893,0.15732363,0.073832698,0.06180526,85.217341
6,6000,3,1.1012326,0.18502334,0.061956771,0.10060282,98.871108
8,6000,0,1.2446893e-05,0.15709817,2.0215521e-07,1.1528609e-06,40.751527
8,6000,1,0.23754378,0.18575032,0.096673592,0.024834211,48.625603
8,6000,2,0.53957607,0.18661545,0.090230653,0.053888027,54.135584
8,6000,3,0.88075765,0.19283164,0.074903403,0.077560432,62.813581
10,6000,0,2.0064842e-05,0.18625801,2.6373193e-07,1.1312403e-06,28.056858
10,6000,1,0.22276149,0.18045402,0.1363578,0.020670227,32.886419
10,6000,2,0.48825145,0.18949128,0.11246054,0.039906695,36.963943
10,6000,3,0.68019313,0.19795688,0.073796262,0.053384329,43.330169
12,6000,0,1.7361211e-05,0.17787468,1.9533197e-07,1.0530025e-06,23.166202
12,6000,1,0.19008876,0.1838484,0.13462867,0.015552212,27.722619
12,6000,2,0.43873709,0.19294418,0.11694272,0.03138536,30.483408
12,6000,3,0.70762475,0.19377506,0.092557526,0.044317085,35.820821
6,9000,0,1.6857042e-05,0.3731945,2.1668772e-07,1.8564363e-06,167.91
6,9000,1,0.53688317,0.37720447,0.22024898,0.077805238,216.80584
6,9000,2,1.1479826,0.34866076,0.16748802,0.13905642,274.09227
6,9000,3,2.4719273,0.40584324,0.13696859,0.22616959,318.08466
8,9000,0,1.3003213e-05,0.34192302,1.8588617e-07,1.7773418e-06,146.15456
8,9000,1,0.5476893,0.40544118,0.22482093,0.056253469,171.78614
8,9000,2,1.2242168,0.40895304,0.19953368,0.12134249,194.75442
8,9000,3,2.004509,0.38688187,0.16543925,0.17507274,221.55574
10,9000,0,2.0469036e-05,0.40670707,2.2115186e-07,1.6068481e-06,83.039659
10,9000,1,0.51464246,0.38490417,0.29230709,0.047014235,95.256999
10,9000,2,1.1174145,0.40166878,0.24103281,0.088964712,107.34086
10,9000,3,1.5061931,0.39895487,0.15907519,0.10918258,122.98332
12,9000,0,2.0339581e-05,0.38094423,2.2045181e-07,1.6052897e-06,70.42017
12,9000,1,0.39504951,0.39799446,0.27980539,0.030580147,81.090768
12,9000,2,1.0538904,0.3919815,0.23882415,0.06618962,89.686854
12,9000,3,1.5462162,0.40014197,0.20324555,0.097302519,103.56395
6,12000,0,1.7962522e-05,0.69963485,2.2558702e-07,1.5481686e-06,381.59612
6,12000,1,0.9864402,0.70148779,0.39392726,0.13576789,485.90292
6,12000,2,2.1318705,0.62761132,0.30328983,0.24026053,601.85559
6,12000,3,4.4394866,0.73877305,0.2425842,0.40045012,699.09746
8,12000,0,1.5351397e-05,0.63442832,2.4336623e-07,1.4312391e-06,273.62458
8,12000,1,0.99738946,0.73803011,0.40683282,0.099670889,316.87175
8,12000,2,2.162042,0.75147031,0.35950495,0.21525907,356.40837
8,12000,3,3.5774211,0.74307889,0.29676016,0.309711,408.73874
10,12000,0,2.1603536e-05,0.75428562,2.704002e-07,1.559183e-06,183.74306
10,12000,1,0.92790442,0.73048876,0.50885316,0.084183253,210.75593
10,12000,2,2.0086164,0.70224261,0.43571527,0.15792083,234.51392
10,12000,3,2.7053527,0.7291586,0.27671531,0.20225846,270.02469
12,12000,0,2.1632192e-05,0.70829345,2.3773302e-07,1.3793663e-06,144.95547
12,12000,1,0.71014575,0.72412754,0.48440518,0.053452782,166.00529
12,12000,2,1.8678513,0.74073599,0.41753626,0.11211076,178.81138
12,12000,3,2.7205026,0.7423979,0.35254012,0.17063452,204.31116
6,3000,0,7.1854641e-06,0.040506925,1.6153273e-07,9.7757826e-07,6.6647781
6,3000,1,0.052318396,0.044460334,0.026222678,0.011107738,9.5885711
6,3000,2,0.12169112,0.03995179,0.020328217,0.018097324,13.520003
6,3000,3,0.27174653,0.048134461,0.019334163,0.026111145,15.710945
8,3000,0,6.6375069e-06,0.039788879,1.8716673e-07,9.8903547e-07,6.7725766
8,3000,1,0.053705077,0.047251863,0.025659077,0.0067616012,7.9306009
8,3000,2,0.13609625,0.049031986,0.024065627,0.014472741,8.7367096
8,3000,3,0.23620793,0.049522955,0.020907671,0.020352726,10.42356
10,3000,0,5.5325963e-06,0.048183395,2.7196482e-07,9.6311793e-07,5.0866011
10,3000,1,0.054028121,0.045441244,0.041434992,0.0054194603,6.1350864
10,3000,2,0.12258063,0.045503661,0.032138595,0.01082935,7.0087507
10,3000,3,0.19047783,0.050330214,0.023712589,0.01359204,8.3204388
12,3000,0,5.4183959e-06,0.045144733,2.9286214e-07,9.15309e-07,4.6124804
12,3000,1,0.041170289,0.050316399,0.039683516,0.0037369061,5.4315368
12,3000,2,0.10556594,0.050595,0.03420645,0.0083917422,6.0903294
12,3000,3,0.17307299,0.050041664,0.027929373,0.010881119,7.3004223
6,6000,0,1.5757047e-05,0.17093011,1.6732762e-07,1.1748117e-06,47.454423
6,6000,1,0.22483766,0.17431536,0.099614447,0.034777912,65.1023
6,6000,2,0.49163982,0.15697273,0.07355988,0.063314755,85.127514
6,6000,3,1.1018216,0.18498022,0.062046403,0.099695704,99.396542
8,6000,0,1.2272445e-05,0.15619545,2.1542655e-07,1.1783268e-06,41.099158
8,6000,1,0.2389474,0.18489349,0.096207205,0.024921889,48.279719
8,6000,2,0.53926658,0.18519591,0.090447495,0.053788981,54.161508
8,6000,3,0.88331831,0.18276745,0.074668836,0.079065972,63.12716
10,6000,0,1.9303709e-05,0.18743271,2.270937e-07,1.1223927e-06,28.032111
10,6000,1,0.22452162,0.18034885,0.13563544,0.020451125,33.023161
10,6000,2,0.49205865,0.19066837,0.11275377,0.040461528,37.047089
10,6000,3,0.67299962,0.19752079,0.075128206,0.050464959,43.093775
12,6000,0,2.0168838e-05,0.19064583,2.0456759e-07,1.0635963e-06,23.448008
12,6000,1,0.19073333,0.18348969,0.13670078,0.015571258,27.574511
12,6000,2,0.43982812,0.18848499,0.11506411,0.031535373,30.334275
12,6000,3,0.70879895,0.18471646,0.09333838,0.044935227,35.858093
6,9000,0,1.6765152e-05,0.37404336,1.2810859e-07,1.6887983e-06,166.39397
6,9000,1,0.53417458,0.37742736,0.21980835,0.078064843,216.78396
6,9000,2,1.149322,0.34594468,0.16746107,0.13767964,274.50208
6,9000,3,2.4724516,0.40453896,0.13966685,0.22510825,316.66058
8,9000,0,1.3430254e-05,0.34126128,2.765446e-07,1.8005376e-06,145.33583
8,9000,1,0.54883796,0.40303005,0.22754476,0.056529604,170.04228
