n,p,f,recovery,final solve,post-ortho,cs construct,pbmgs,total
12000,10,0,5.1723719e-05,0,4.2901002e-05,5.9384853e-07,201.62818,1008.1410313987301
12000,10,0,6.6007394e-05,0,5.2633267e-05,6.2314793e-07,199.65179,998.2591109023532
12000,10,0,8.5851736e-05,0,7.6990053e-05,6.679818e-07,220.82722,1104.1363344585343
12000,10,1,0.67916802,0,0.17121319,0.060490657,224.24568,1122.3774178376427
12000,10,1,0.69126657,0,0.19135184,0.065656294,231.15049,1157.1148746584865
12000,10,1,0.73663977,0,0.19282292,0.064097346,236.55434,1184.2411044874266
12000,10,1,0.75098898,0,0.20326165,0.072665905,219.51579,1098.7677471505292
12000,10,2,1.6583597,0,0.15963402,0.13840973,245.94956,1231.5284843512743
12000,10,2,1.6966144,0,0.15306112,0.12473,250.81788,1255.90553645168
12000,10,2,1.8238403,0,0.18136077,0.14368206,264.61857,1325.3255690941667
12000,10,2,1.9079987,0,0.18698802,0.15336513,242.84677,1216.0809535693454
12000,10,2,1.9480536,0,0.17588708,0.15610394,242.3547,1213.5856224676868
12000,10,3,2.9311025,0,0.12523405,0.17813091,281.06528,1407.8206623246804
12000,10,3,2.9470328,0,0.17511101,0.19367161,282.91492,1417.303119325028
12000,10,3,2.9846736,0,0.13628301,0.20702189,277.83382,1391.7199080600146
12000,10,3,3.1366166,0,0.14753266,0.21746902,268.45502,1344.7054834733121
12000,10,3,3.2481246,0,0.13343966,0.21882493,286.08269,1433.1551610758893
12000,12,0,0.00010770288,0,0.00010633898,6.0867104e-07,148.51201,742.560373844334
12000,12,0,0.00011125704,0,0.00010370199,6.3340283e-07,145.12293,725.6149660097315
12000,12,0,8.4861725e-05,0,7.0004181e-05,5.6952962e-07,147.94503,739.7253637248386
12000,12,1,0.62907061,0,0.20371438,0.051056,170.90895,856.0274861443316
12000,12,1,0.66950068,0,0.21079967,0.052784741,170.39127,853.4515453066862
12000,12,1,0.69503746,0,0.20573822,0.053598569,169.64781,849.7009205674248
12000,12,2,1.6851642,0,0.17539839,0.11144007,187.24329,938.2474870307333
12000,12,2,1.7074886,0,0.18032951,0.11613231,184.54178,924.6946330476819
12000,12,2,1.7367304,0,0.18538571,0.11060774,185.9481,931.7636059855067
12000,12,2,1.8022939,0,0.17667461,0.11119924,188.97192,946.9415329909085
12000,12,3,2.4651451,0,0.14030409,0.14887688,204.20117,1023.5119924744749
12000,12,3,2.4848202,0,0.14688766,0.15535643,207.79933,1041.6415354737703
12000,12,3,2.570171,0,0.13371984,0.15427367,203.5162,1020.0647641403962
12000,12,3,2.6073887,0,0.14468944,0.15659143,204.91224,1027.12370547814
12000,6,0,3.3452434e-05,0,2.2624464e-05,6.2817708e-07,454.29366,2271.468369987205
